"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: isPageAligned","Param: pages"
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:branches","avgt",1,1,10153.459246,NaN,"#/op",true,2
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:cycles","avgt",1,1,553324.148583,NaN,"#/op",true,2
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:dTLB-load-misses","avgt",1,1,88.168421,NaN,"#/op",true,2
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:dTLB-store-misses","avgt",1,1,97.185170,NaN,"#/op",true,2
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:iTLB-load-misses","avgt",1,1,8.520428,NaN,"#/op",true,2
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:instructions","avgt",1,1,50054.750640,NaN,"#/op",true,2
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:stalled-cycles-frontend","avgt",1,1,24.961177,NaN,"#/op",true,2
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite","avgt",1,5,357.609863,1.007136,"us/op",true,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:CPI","avgt",1,1,18.418228,NaN,"#/op",true,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:L1-dcache-load-misses","avgt",1,1,1275.332143,NaN,"#/op",true,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:L1-dcache-loads","avgt",1,1,99802.889357,NaN,"#/op",true,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:L1-dcache-store-misses","avgt",1,1,1268.396857,NaN,"#/op",true,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:L1-dcache-stores","avgt",1,1,99520.923357,NaN,"#/op",true,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:L1-icache-load-misses","avgt",1,1,65.775286,NaN,"#/op",true,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:branch-misses","avgt",1,1,41.401071,NaN,"#/op",true,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:branches","avgt",1,1,10021.980000,NaN,"#/op",true,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:cycles","avgt",1,1,931257.399857,NaN,"#/op",true,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:dTLB-load-misses","avgt",1,1,29381.494286,NaN,"#/op",true,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:dTLB-store-misses","avgt",1,1,29385.224643,NaN,"#/op",true,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:iTLB-load-misses","avgt",1,1,19.285786,NaN,"#/op",true,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:instructions","avgt",1,1,50561.725643,NaN,"#/op",true,4
